cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr,popw
1,2015,12,17.1429,25.7143,37.1429,8.5714,11.4286,0.14285699999999998,0.14285699999999998,0.228571,0.371429,0.11428599999999997,126.71428600000002,1,112,21,201521,113.142857,73.028571,35,2.285714,12.0,3.857143,1.0,349.8
1,2015,13,15.3846,12.8205,35.89740000000001,25.641,10.2564,0.171429,0.257143,0.371429,0.085714,0.11428599999999997,98.0,1,113,21,201521,115.428571,82.728571,39,7.428571000000002,16.571429000000002,4.142857,0.714286,349.8
1,2015,14,16.666700000000002,16.666700000000002,25.0,41.6667,0.0,0.153846,0.128205,0.358974,0.25641,0.10256400000000003,103.0,1,114,21,201521,72.57142900000002,51.157143,24,2.428571,10.428571,4.0,0.571429,349.8
1,2015,15,12.0,12.0,60.0,12.0,4.0,0.166667,0.166667,0.25,0.416667,0.0,66.85714300000001,1,115,21,201521,96.0,70.914286,25,6.857142999999999,15.428571,3.785714,0.428571,349.8
1,2015,16,0.0,12.5,37.5,25.0,25.0,0.12,0.12,0.6,0.12,0.04,74.57142900000002,1,116,21,201521,99.0,59.6,8,9.285714,19.142857,3.785714,0.714286,349.8
1,2015,17,33.3333,8.333300000000001,25.0,25.0,8.333300000000001,0.0,0.125,0.375,0.25,0.25,42.142857,1,117,21,201521,94.571429,52.385714,12,16.0,26.285714,4.357143,1.0,349.8
1,2015,18,8.333300000000001,25.0,33.3333,25.0,8.333300000000001,0.333333,0.083333,0.25,0.25,0.083333,49.42857100000001,1,118,21,201521,80.14285699999998,38.628571,12,12.857143,23.285714,4.285714,0.857143,349.8
1,2015,19,12.5,12.5,50.0,25.0,0.0,0.083333,0.25,0.333333,0.25,0.083333,75.42857099999998,1,119,21,201521,60.85714300000001,31.528571000000003,8,10.857143,20.0,3.714286,0.428571,349.8
1,2015,20,0.0,12.5,50.0,37.5,0.0,0.125,0.125,0.5,0.25,0.0,84.14285699999998,1,120,21,201521,70.42857099999998,37.657143,8,13.571429,23.428571,4.285714,0.714286,349.8
1,2015,21,11.7647,17.6471,41.1765,29.4118,0.0,0.0,0.125,0.5,0.375,0.0,42.42857100000001,1,121,21,201521,95.857143,54.585714,17,20.285714,30.0,4.428571,0.857143,349.8
1,2015,22,27.2727,27.2727,27.2727,9.0909,9.0909,0.117647,0.17647100000000002,0.411765,0.294118,0.0,26.571429,1,122,21,201521,77.714286,40.871429,11,18.714286,27.142857,4.428571,0.571429,349.8
1,2015,23,9.0909,18.1818,45.4545,18.1818,9.0909,0.272727,0.272727,0.272727,0.090909,0.090909,48.857143,1,123,21,201521,63.85714300000001,33.685714000000004,11,17.0,25.285714,4.0,0.0,349.8
1,2015,24,18.1818,72.7273,0.0,9.0909,0.0,0.090909,0.181818,0.454545,0.181818,0.090909,67.57142900000001,1,124,21,201521,78.85714300000002,43.7,11,18.857143,27.428571,3.857143,0.428571,349.8
