cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
1,2014,40,33.3333,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.857143,3,1,140,21,201421,90.714286,64.328571,3,9.142857000000001,17.714285999999998,3.571429,0.571429
1,2014,41,8.6957,21.7391,33.3333,21.7391,14.4928,0.333333,0.333333,0.333333,0.0,0.0,124.0,3,1,141,21,201421,128.0,92.628571,69,10.571429,19.857143,4.0,0.714286
1,2014,42,3.5714,17.8571,46.4286,28.571400000000004,3.5714,0.086957,0.21739099999999997,0.333333,0.21739099999999997,0.144928,124.142857,3,1,142,21,201421,110.42857099999999,76.871429,28,8.857142999999999,19.142857,4.214286,0.571429
1,2014,43,11.7647,19.6078,25.4902,37.2549,5.8824000000000005,0.035713999999999996,0.178571,0.464286,0.28571399999999997,0.035713999999999996,115.28571399999998,3,1,143,21,201421,144.85714299999998,105.528571,51,9.0,17.333333,3.857143,0.857143
1,2014,44,5.8537,17.0732,32.6829,35.6098,8.7805,0.117647,0.196078,0.254902,0.37254899999999996,0.058824,219.857143,3,1,144,21,201421,181.85714299999998,181.571429,205,6.285714,14.714285999999998,3.642857,0.714286
1,2014,45,43.75,6.25,25.0,18.75,6.25,0.058537,0.170732,0.326829,0.356098,0.087805,104.714286,3,1,145,21,201421,114.142857,83.1,16,1.833333,13.166667000000002,3.785714,0.857143
1,2014,46,23.0769,7.6923,30.7692,23.0769,15.3846,0.4375,0.0625,0.25,0.1875,0.0625,90.714286,3,1,146,21,201421,109.142857,72.814286,13,-2.142857,6.428571,3.714286,0.857143
1,2014,47,13.4615,18.2692,19.2308,43.26920000000001,5.7692,0.230769,0.076923,0.307692,0.230769,0.153846,151.71428600000002,3,1,147,21,201421,152.71428600000002,117.92857099999999,104,0.833333,9.5,3.785714,0.571429
1,2014,48,33.3333,9.0909,24.2424,30.303,3.0303,0.134615,0.18269200000000002,0.19230799999999998,0.432692,0.05769199999999999,97.42857099999999,3,1,148,21,201421,112.28571399999998,72.028571,33,-6.8,1.2,4.071429,0.714286
1,2014,49,11.7647,11.7647,23.5294,41.1765,11.7647,0.333333,0.090909,0.24242399999999997,0.30303,0.030302999999999997,51.0,4,1,149,21,201421,84.0,52.485714,17,-10.0,-3.428571,3.571429,0.857143
1,2014,50,0.0,25.0,62.5,12.5,0.0,0.117647,0.117647,0.235294,0.41176499999999994,0.117647,101.714286,4,1,150,21,201421,97.714286,70.871429,8,-11.714286,-3.571429,3.857143,0.571429
