cid,income,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
2,25089.0,2015,11,17.8571,10.7143,28.571400000000004,35.7143,7.142900000000001,0.22,0.22,0.22,0.24,0.1,126.428571,1,2,211,41,201541,161.85714299999995,122.085714,28,6.571428999999998,17.142857,2.321429,0.428571
2,25089.0,2015,12,16.0,12.0,24.0,24.0,24.0,0.178571,0.107143,0.285714,0.357143,0.07142899999999999,135.14285700000002,1,2,212,41,201541,135.0,75.35714300000002,25,7.0,18.142857,1.3214290000000002,0.285714
2,25089.0,2015,13,13.0435,13.0435,43.4783,26.087,4.3478,0.16,0.12,0.24,0.24,0.24,92.142857,1,2,213,41,201541,102.428571,66.028571,23,8.857142999999997,21.0,2.142857,0.714286
2,25089.0,2015,14,23.8095,33.3333,19.0476,23.8095,0.0,0.130435,0.130435,0.434783,0.26087,0.043478,102.142857,1,2,214,41,201541,87.285714,60.828571,21,6.428571,14.714285999999998,2.821429,0.285714
2,25089.0,2015,15,0.0,7.6923,38.4615,46.1538,7.6923,0.238095,0.333333,0.190476,0.238095,0.0,70.14285699999999,1,2,215,41,201541,96.285714,62.542857,13,9.285714,21.857143,3.357143,0.714286
2,25089.0,2015,16,23.5294,11.7647,29.4118,23.5294,11.7647,0.0,0.076923,0.384615,0.461538,0.076923,70.42857099999998,1,2,216,41,201541,107.142857,55.614286,17,11.857143,21.571429,2.821429,0.571429
2,25089.0,2015,17,23.0769,38.4615,38.4615,0.0,0.0,0.235294,0.117647,0.294118,0.235294,0.117647,86.57142900000002,1,2,217,41,201541,104.142857,71.92857099999998,13,16.428570999999998,28.714286,3.142857,0.857143
2,25089.0,2015,18,27.2727,27.2727,36.3636,9.0909,0.0,0.230769,0.384615,0.384615,0.0,0.0,78.0,1,2,218,41,201541,87.714286,59.15714300000001,11,15.428571,25.714286,3.214286,0.14285699999999998
2,25089.0,2015,19,0.0,23.5294,47.0588,23.5294,5.8824000000000005,0.272727,0.272727,0.363636,0.090909,0.0,83.42857099999998,1,2,219,41,201541,87.42857099999998,56.7,17,14.285714000000002,23.714286,2.607143,0.571429
2,25089.0,2015,20,22.2222,11.1111,33.3333,33.3333,0.0,0.0,0.235294,0.470588,0.235294,0.058824,42.571429,1,2,220,41,201541,108.857143,71.35714300000002,9,17.571429000000002,28.285714,3.285714,0.714286
2,25089.0,2015,21,0.0,37.5,50.0,12.5,0.0,0.222222,0.111111,0.333333,0.333333,0.0,59.0,1,2,221,41,201541,119.857143,85.985714,8,18.0,29.428571,3.071429,0.714286
2,25089.0,2015,22,18.1818,0.0,54.5455,18.1818,9.0909,0.0,0.375,0.5,0.125,0.0,84.57142900000002,1,2,222,41,201541,116.142857,78.771429,11,20.428571,30.571429,3.142857,0.285714
2,25089.0,2015,23,16.666700000000002,50.0,0.0,33.3333,0.0,0.181818,0.0,0.545455,0.181818,0.090909,62.571429,2,2,223,41,201541,114.28571399999998,69.38571400000001,6,21.0,32.857143,3.178571,0.428571
2,25089.0,2015,24,0.0,0.0,88.8889,11.1111,0.0,0.166667,0.5,0.0,0.333333,0.0,67.42857099999999,2,2,224,41,201541,109.0,67.257143,9,21.571429,32.857143,3.071429,0.285714
2,25089.0,2015,25,0.0,30.0,40.0,20.0,10.0,0.0,0.0,0.8888889999999999,0.111111,0.0,16.285714000000002,2,2,225,41,201541,101.857143,64.371429,10,20.857143,29.428571,2.214286,0.14285699999999998
2,25089.0,2015,26,28.571400000000004,0.0,14.285700000000002,57.1429,0.0,0.0,0.3,0.4,0.2,0.1,41.714286,2,2,226,41,201541,73.14285699999998,50.142857,7,21.714286,29.428571,2.571429,0.14285699999999998
2,25089.0,2015,27,25.0,25.0,50.0,0.0,0.0,0.285714,0.0,0.14285699999999998,0.571429,0.0,33.0,2,2,227,41,201541,115.71428600000002,74.35714300000002,4,21.285714,32.285714,2.607143,0.285714
2,25089.0,2015,28,50.0,0.0,33.3333,16.666700000000002,0.0,0.25,0.25,0.5,0.0,0.0,32.857143,2,2,228,41,201541,97.857143,64.0,6,23.142857,33.714286,3.035714,0.285714
2,25089.0,2015,29,0.0,16.666700000000002,83.3333,0.0,0.0,0.5,0.0,0.333333,0.166667,0.0,40.714286,2,2,229,41,201541,88.0,64.5,6,22.0,30.142857,2.142857,0.0
2,25089.0,2015,30,9.0909,18.1818,54.5455,0.0,18.1818,0.0,0.166667,0.833333,0.0,0.0,33.142857,2,2,230,41,201541,76.42857099999998,51.942857,11,24.428571,34.571428999999995,1.714286,0.714286
2,25089.0,2015,31,0.0,33.3333,0.0,50.0,16.666700000000002,0.090909,0.181818,0.545455,0.0,0.181818,16.285714000000002,2,2,231,41,201541,63.428571,42.842857,6,23.285714,30.857143,3.0,0.0
2,25089.0,2015,32,18.1818,18.1818,36.3636,18.1818,9.0909,0.0,0.333333,0.0,0.5,0.166667,41.142857,2,2,232,41,201541,99.0,72.714286,11,22.428571,31.142857,3.0,0.285714
2,25089.0,2015,33,29.4118,17.6471,29.4118,17.6471,5.8824000000000005,0.181818,0.181818,0.363636,0.181818,0.090909,40.714286,2,2,233,41,201541,86.42857099999998,61.442857,17,22.0,31.428571,3.0,0.14285699999999998
2,25089.0,2015,34,16.666700000000002,16.666700000000002,16.666700000000002,25.0,25.0,0.294118,0.17647100000000002,0.294118,0.17647100000000002,0.058824,0.0,2,2,234,41,201541,81.42857099999998,54.557143,12,20.142857,30.285714,3.107143,0.14285699999999998
