cid,income,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
1,27846.0,2017,25,0.0,100.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,24.428571,2,1,125,21,201721,92.857143,40.285714,1,20.285714,29.428571,3.785714,0.285714
1,27846.0,2017,26,0.0,50.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,66.42857099999999,2,1,126,21,201721,108.28571399999998,36.42857100000001,4,23.0,31.571429,3.928571,0.714286
1,27846.0,2017,27,14.285700000000002,0.0,42.8571,42.8571,0.0,0.0,0.5,0.25,0.25,0.0,32.571428999999995,2,1,127,21,201721,93.571429,31.571429,7,23.857143,32.857143,3.642857,0.857143
1,27846.0,2017,28,0.0,66.6667,22.2222,0.0,11.1111,0.14285699999999998,0.0,0.428571,0.428571,0.0,16.285714000000002,2,1,128,21,201721,99.285714,28.0,9,25.428571,33.428571000000005,3.214286,0.428571
1,27846.0,2017,29,27.2727,18.1818,45.4545,9.0909,0.0,0.0,0.666667,0.222222,0.0,0.111111,40.714286,2,1,129,21,201721,76.714286,27.714286,11,24.571429,31.857143,3.214286,0.428571
1,27846.0,2017,30,0.0,33.3333,66.6667,0.0,0.0,0.272727,0.181818,0.454545,0.090909,0.0,48.857143,2,1,130,21,201721,81.42857099999998,31.142857,3,21.857143,30.285714,3.642857,0.571429
1,27846.0,2017,31,0.0,22.2222,22.2222,44.4444,11.1111,0.0,0.333333,0.666667,0.0,0.0,24.857143,2,1,131,21,201721,70.85714300000002,20.714286,9,24.571429,31.428571,4.214286,0.285714
1,27846.0,2017,32,9.0909,63.6364,18.1818,9.0909,0.0,0.0,0.222222,0.222222,0.444444,0.111111,8.142857000000001,2,1,132,21,201721,77.57142900000002,22.714286,11,23.285714,30.857143,3.785714,0.285714
1,27846.0,2017,33,0.0,25.0,50.0,25.0,0.0,0.090909,0.636364,0.181818,0.090909,0.0,32.857143,2,1,133,21,201721,51.42857100000001,19.571429,4,21.714286,28.428571,3.5,0.0
1,27846.0,2017,34,0.0,0.0,37.5,50.0,12.5,0.0,0.25,0.5,0.25,0.0,24.428571,2,1,134,21,201721,63.714286,28.0,8,20.142857,29.0,3.642857,0.428571
1,27846.0,2017,35,12.5,0.0,62.5,0.0,25.0,0.0,0.0,0.375,0.5,0.125,16.285714000000002,2,1,135,21,201721,63.571429,30.142857,8,16.0,24.714286,3.785714,0.571429
1,27846.0,2017,36,12.5,12.5,50.0,12.5,12.5,0.125,0.0,0.625,0.0,0.25,41.0,3,1,136,21,201721,80.714286,40.285714,8,19.0,27.428571,3.785714,0.571429
1,27846.0,2017,37,0.0,40.0,40.0,20.0,0.0,0.125,0.125,0.5,0.125,0.125,24.857143,3,1,137,21,201721,58.0,28.428571,5,16.714285999999998,26.0,3.5,0.571429
1,27846.0,2017,38,12.5,0.0,87.5,0.0,0.0,0.0,0.4,0.4,0.2,0.0,24.428571,3,1,138,21,201721,72.714286,24.0,8,16.0,25.428571,4.071429,0.857143
1,27846.0,2017,39,0.0,14.285700000000002,71.4286,14.285700000000002,0.0,0.125,0.0,0.875,0.0,0.0,24.428571,3,1,139,21,201721,60.85714300000001,33.0,7,12.857143,22.428571,3.928571,0.571429
1,27846.0,2017,40,0.0,12.5,62.5,25.0,0.0,0.0,0.14285699999999998,0.714286,0.14285699999999998,0.0,32.571428999999995,3,1,140,21,201721,59.285714,25.571429,8,10.428571,19.714286,4.214286,0.857143
1,27846.0,2017,41,0.0,0.0,33.3333,66.6667,0.0,0.0,0.125,0.625,0.25,0.0,41.857143,3,1,141,21,201721,51.285714,31.857143,3,6.142857,15.714285999999998,3.785714,0.571429
1,27846.0,2017,42,9.0909,18.1818,45.4545,27.2727,0.0,0.0,0.0,0.333333,0.666667,0.0,34.285714,3,1,142,21,201721,86.0,63.85714300000001,11,6.571428999999998,16.285714000000002,3.642857,0.857143
1,27846.0,2017,43,7.142900000000001,28.571400000000004,35.7143,14.285700000000002,14.285700000000002,0.090909,0.181818,0.454545,0.272727,0.0,87.0,3,1,143,21,201721,97.571429,70.714286,14,6.8333330000000005,16.5,3.785714,0.857143
1,27846.0,2017,44,4.7619,28.571400000000004,33.3333,33.3333,0.0,0.07142899999999999,0.285714,0.357143,0.14285699999999998,0.14285699999999998,33.857143,3,1,144,21,201721,71.57142900000002,46.142857,21,1.5714290000000002,11.857143,4.071429,1.0
1,27846.0,2017,45,10.0,10.0,70.0,10.0,0.0,0.047619,0.285714,0.333333,0.333333,0.0,91.571429,3,1,145,21,201721,65.14285699999999,39.857143,10,5.3333330000000005,13.833332999999998,4.214286,0.857143
1,27846.0,2017,46,0.0,22.2222,44.4444,22.2222,11.1111,0.1,0.1,0.7,0.1,0.0,67.42857099999999,3,1,146,21,201721,55.85714300000001,36.714286,9,-3.666667,4.5,4.071429,0.857143
1,27846.0,2017,47,14.285700000000002,4.7619,28.571400000000004,38.0952,14.285700000000002,0.0,0.222222,0.444444,0.222222,0.111111,49.0,3,1,147,21,201721,52.0,31.428571,21,-5.142857,3.285714,4.071429,0.857143
1,27846.0,2017,48,3.4483,17.241400000000002,37.931,37.931,3.4483,0.14285699999999998,0.047619,0.285714,0.380952,0.14285699999999998,61.714286,3,1,148,21,201721,52.285714,41.142857,29,-8.166667,0.833333,3.928571,0.714286
